,stage_name,stage_score,stage_rank,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus
0,Boulder,98.9,1,8351,Semi-final,175,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,TRUE,1,TRUE,1,TRUE,25,1,2023-08-09 08:48:33 +00:00,locked,
1,Boulder,98.9,1,8351,Semi-final,175,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,TRUE,3,TRUE,2,TRUE,24.8,1,2023-08-09 08:59:58 +00:00,locked,
2,Boulder,98.9,1,8351,Semi-final,175,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,TRUE,4,TRUE,2,TRUE,24.7,1,2023-08-09 09:10:47 +00:00,locked,
3,Boulder,98.9,1,8351,Semi-final,175,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,TRUE,7,TRUE,7,TRUE,24.4,2,2023-08-09 09:22:35 +00:00,locked,
4,Lead,76.1,2,8351,Semi-final,175,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:29:40 +00:00,locked,TRUE
5,Boulder,84.9,1,8353,Final,177,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,TRUE,1,TRUE,1,TRUE,25,1,2023-08-11 17:48:52 +00:00,locked,
6,Boulder,84.9,1,8353,Final,177,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,TRUE,2,TRUE,1,TRUE,24.9,1,2023-08-11 18:09:09 +00:00,locked,
7,Boulder,84.9,1,8353,Final,177,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,TRUE,1,TRUE,1,TRUE,25,1,2023-08-11 18:30:17 +00:00,locked,
8,Boulder,84.9,1,8353,Final,177,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,4,TRUE,1,TRUE,10,1,2023-08-11 18:51:33 +00:00,locked,
9,Lead,92.1,2,8353,Final,177,1147,1,Janja,GARNBRET,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 20:21:25 +00:00,locked,TRUE
10,Boulder,44.4,7,8351,Semi-final,98.5,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,4,TRUE,3,TRUE,9.8,3,2023-08-09 08:48:20 +00:00,locked,
11,Boulder,44.4,7,8351,Semi-final,98.5,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,5,FALSE,5,TRUE,5,1,2023-08-09 08:59:52 +00:00,locked,
12,Boulder,44.4,7,8351,Semi-final,98.5,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,TRUE,5,TRUE,5,TRUE,24.6,1,2023-08-09 09:10:39 +00:00,locked,
13,Boulder,44.4,7,8351,Semi-final,98.5,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,FALSE,7,FALSE,7,TRUE,5,1,2023-08-09 09:22:35 +00:00,locked,
14,Lead,54.1,6,8351,Semi-final,98.5,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:09:23 +00:00,locked,TRUE
15,Boulder,69,3,8353,Final,157.1,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,TRUE,2,TRUE,1,TRUE,24.9,1,2023-08-11 17:23:16 +00:00,locked,
16,Boulder,69,3,8353,Final,157.1,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,TRUE,4,TRUE,4,TRUE,24.7,1,2023-08-11 17:46:15 +00:00,locked,
17,Boulder,69,3,8353,Final,157.1,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,2,TRUE,1,TRUE,10,1,2023-08-11 18:05:57 +00:00,locked,
18,Boulder,69,3,8353,Final,157.1,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,9,TRUE,7,TRUE,9.4,6,2023-08-11 18:28:43 +00:00,locked,
19,Lead,88.1,4,8353,Final,157.1,1226,2,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 19:49:59 +00:00,locked,TRUE
20,Boulder,44.9,6,8351,Semi-final,136.9,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,5,FALSE,5,TRUE,5,1,2023-08-09 08:48:28 +00:00,locked,
21,Boulder,44.9,6,8351,Semi-final,136.9,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,3,TRUE,1,TRUE,10,1,2023-08-09 08:59:55 +00:00,locked,
22,Boulder,44.9,6,8351,Semi-final,136.9,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,11,FALSE,11,TRUE,4.9,2,2023-08-09 09:10:48 +00:00,locked,
23,Boulder,44.9,6,8351,Semi-final,136.9,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,TRUE,1,TRUE,1,TRUE,25,1,2023-08-09 09:22:33 +00:00,locked,
24,Lead,92,1,8351,Semi-final,136.9,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:24:02 +00:00,locked,FALSE
25,Boulder,44.5,6,8353,Final,140.6,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,FALSE,6,FALSE,6,TRUE,4.9,2,2023-08-11 17:48:53 +00:00,locked,
26,Boulder,44.5,6,8353,Final,140.6,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,TRUE,3,TRUE,2,TRUE,24.8,1,2023-08-11 18:06:02 +00:00,locked,
27,Boulder,44.5,6,8353,Final,140.6,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,2,TRUE,1,TRUE,10,1,2023-08-11 18:28:49 +00:00,locked,
28,Boulder,44.5,6,8353,Final,140.6,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,6,FALSE,6,TRUE,4.8,3,2023-08-11 18:46:53 +00:00,locked,
29,Lead,96.1,1,8353,Final,140.6,2380,3,Ai,MORI,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 20:14:31 +00:00,locked,TRUE
30,Boulder,54.1,3,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,4,TRUE,1,TRUE,10,1,2023-08-09 08:48:26 +00:00,locked,
31,Boulder,54.1,3,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,5,TRUE,3,TRUE,9.8,1,2023-08-09 08:59:52 +00:00,locked,
32,Boulder,54.1,3,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,8,TRUE,5,TRUE,9.6,5,2023-08-09 09:10:45 +00:00,locked,
33,Boulder,54.1,3,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,TRUE,4,TRUE,4,TRUE,24.7,1,2023-08-09 09:10:20 +00:00,confirmed,
34,Lead,68,4,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:16:04 +00:00,locked,FALSE
35,Boulder,69.8,2,8353,Final,137.8,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,TRUE,1,TRUE,1,TRUE,25,1,2023-08-11 17:36:53 +00:00,locked,
36,Boulder,69.8,2,8353,Final,137.8,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,TRUE,2,TRUE,2,TRUE,24.9,1,2023-08-11 18:01:59 +00:00,locked,
37,Boulder,69.8,2,8353,Final,137.8,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,2,TRUE,1,TRUE,10,1,2023-08-11 18:18:56 +00:00,locked,
38,Boulder,69.8,2,8353,Final,137.8,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,6,TRUE,2,TRUE,9.9,2,2023-08-11 18:36:52 +00:00,locked,
39,Lead,68,5,8353,Final,137.8,1811,4,Brooke,RABOUTOU,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 20:03:27 +00:00,locked,FALSE
40,Boulder,19.1,19,8351,Semi-final,91.1,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,3,TRUE,2,TRUE,9.9,2,2023-08-09 08:47:34 +00:00,locked,
41,Boulder,19.1,19,8351,Semi-final,91.1,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,11,FALSE,11,FALSE,0,11,2023-08-09 08:59:20 +00:00,locked,
42,Boulder,19.1,19,8351,Semi-final,91.1,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,8,FALSE,8,TRUE,4.6,5,2023-08-09 09:10:16 +00:00,locked,
43,Boulder,19.1,19,8351,Semi-final,91.1,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,FALSE,7,FALSE,7,TRUE,4.6,5,2023-08-09 08:15:39 +00:00,locked,
44,Lead,72,3,8351,Semi-final,91.1,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 19:31:19 +00:00,locked,FALSE
45,Boulder,14.1,8,8353,Final,106.2,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,FALSE,5,FALSE,5,TRUE,4.9,2,2023-08-11 17:14:41 +00:00,locked,
46,Boulder,14.1,8,8353,Final,106.2,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,FALSE,8,FALSE,8,TRUE,4.5,6,2023-08-11 17:36:56 +00:00,locked,
47,Boulder,14.1,8,8353,Final,106.2,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,5,FALSE,5,FALSE,0,5,2023-08-11 17:57:17 +00:00,locked,
48,Boulder,14.1,8,8353,Final,106.2,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,9,FALSE,9,TRUE,4.7,4,2023-08-11 18:18:46 +00:00,locked,
49,Lead,92.1,2,8353,Final,106.2,2035,5,Jain,KIM,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 19:36:22 +00:00,locked,TRUE
50,Boulder,79.4,2,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,TRUE,1,TRUE,1,TRUE,25,1,2023-08-09 08:48:23 +00:00,locked,
51,Boulder,79.4,2,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,5,FALSE,5,TRUE,5,1,2023-08-09 08:59:55 +00:00,locked,
52,Boulder,79.4,2,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,TRUE,2,TRUE,1,TRUE,24.9,1,2023-08-09 09:10:46 +00:00,locked,
53,Boulder,79.4,2,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,TRUE,6,TRUE,3,TRUE,24.5,2,2023-08-09 09:22:30 +00:00,locked,
54,Lead,54.1,6,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:09:24 +00:00,locked,TRUE
55,Boulder,54.7,4,8353,Final,93.8,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,FALSE,4,TRUE,2,TRUE,9.9,2,2023-08-11 17:41:41 +00:00,locked,
56,Boulder,54.7,4,8353,Final,93.8,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,TRUE,3,TRUE,2,TRUE,24.8,1,2023-08-11 18:02:01 +00:00,locked,
57,Boulder,54.7,4,8353,Final,93.8,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,2,TRUE,1,TRUE,10,1,2023-08-11 18:28:47 +00:00,locked,
58,Boulder,54.7,4,8353,Final,93.8,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,FALSE,6,TRUE,1,TRUE,10,1,2023-08-11 18:42:08 +00:00,locked,
59,Lead,39.1,7,8353,Final,93.8,11462,6,Oriane,BERTONE,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 20:07:58 +00:00,locked,TRUE
60,Boulder,53.9,4,8351,Semi-final,108,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,4,TRUE,2,TRUE,9.9,2,2023-08-09 08:48:04 +00:00,locked,
61,Boulder,53.9,4,8351,Semi-final,108,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,6,TRUE,5,TRUE,9.6,4,2023-08-09 08:59:41 +00:00,locked,
62,Boulder,53.9,4,8351,Semi-final,108,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,6,TRUE,3,TRUE,9.8,1,2023-08-09 09:10:29 +00:00,locked,
63,Boulder,53.9,4,8351,Semi-final,108,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,TRUE,5,TRUE,5,TRUE,24.6,1,2023-08-09 09:22:19 +00:00,locked,
64,Lead,54.1,6,8351,Semi-final,108,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 19:32:01 +00:00,locked,TRUE
65,Boulder,54.4,5,8353,Final,93.5,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836,1,FALSE,5,TRUE,3,TRUE,9.8,1,2023-08-11 17:29:07 +00:00,locked,
66,Boulder,54.4,5,8353,Final,93.5,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837,2,FALSE,3,TRUE,1,TRUE,10,1,2023-08-11 17:51:22 +00:00,locked,
67,Boulder,54.4,5,8353,Final,93.5,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838,3,FALSE,4,TRUE,4,TRUE,9.7,3,2023-08-11 18:10:42 +00:00,locked,
68,Boulder,54.4,5,8353,Final,93.5,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839,4,TRUE,2,TRUE,1,TRUE,24.9,1,2023-08-11 18:31:46 +00:00,locked,
69,Lead,39.1,7,8353,Final,93.5,2294,7,Miho,NONAKA,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840,1,FALSE,,,,,,,2023-08-11 19:53:42 +00:00,locked,TRUE
70,Boulder,53.5,5,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,5,TRUE,4,TRUE,9.7,4,2023-08-09 08:47:59 +00:00,locked,
71,Boulder,53.5,5,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,7,TRUE,2,TRUE,9.9,2,2023-08-09 08:59:41 +00:00,locked,
